model,precision,batch_size,power_mode,p_peak_w,energy_per_inf_j,thermal_ramp_c_per_s,speed_score,pareto
resnet18,FP32,4,25W,18.70848,0.2333692451096461,0.6113063084692588,75.29535650192874,0
resnet18,FP32,4,25W,18.70848,0.2326445977950557,0.5687306760550406,75.36516067072938,0
resnet18,FP32,4,25W,17.372799999999998,0.9509425905577846,0.0720313692685773,17.8479637726098,0
resnet18,FP32,4,25W,17.841279999999998,0.929408357587221,0.1136436918314137,18.76362549749116,0
resnet18,FP32,4,25W,17.528959999999998,0.9447353696173366,0.0526706578041845,18.08111363978122,0
resnet18,FP32,4,MAXN,20.4288,0.2253501538877724,1.4702050517330485,79.37040511926352,0
resnet18,FP32,4,MAXN,20.467712,0.2395703962298883,0.743097299619768,80.42318314384976,0
resnet18,FP32,4,MAXN,20.506624,0.2399262637303889,0.6307820838602567,80.4162546488475,0
resnet18,FP32,4,MAXN,18.23168,0.9888692350119318,0.059078298351243,18.20480491676547,0
resnet18,FP32,4,MAXN,19.09824,0.9658454642302148,0.1038863554235144,19.094030399348497,0
resnet18,FP32,4,MAXN,19.059264,0.9737293686019444,0.0464106897238815,18.82780380935605,0
resnet18,FP32,8,15W,14.672768,0.4073805405847632,0.15408543304542,34.87288842167227,0
resnet18,FP32,8,15W,14.672768,0.411527872983011,0.0579795938775162,34.88314347629784,0
resnet18,FP32,8,15W,14.594304,0.4111417188465721,0.0701680143969045,34.87656836248301,0
resnet18,FP32,8,15W,14.633536,1.4382345433176242,-0.0045586094400275,10.07833480395519,0
resnet18,FP32,8,15W,14.633536,1.4380192256641595,0.0004970517600287,10.077715489480193,0
resnet18,FP32,8,15W,14.868928,1.4368830329075115,-0.0011440572951,10.113346817068903,0
resnet18,FP32,8,25W,19.838784,0.3670936050337106,0.7145123248017432,50.19123926213335,0
resnet18,FP32,8,25W,19.689472,0.3765121790091363,0.3932039827443415,50.18758536828227,0
resnet18,FP32,8,25W,19.806208,0.3762206164135389,0.3585803011797456,50.17029315985884,0
resnet18,FP32,8,25W,19.378176,1.368342904471837,0.0907747427048528,13.92905633822319,0
resnet18,FP32,8,25W,19.254144,1.367101296505475,0.0832686215103834,13.922623062950017,0
resnet18,FP32,8,25W,19.29312,1.368665971735282,0.0692396181630561,13.920773860718926,0
resnet18,FP32,8,MAXN,21.13728,0.3761711140197663,0.804232444438624,52.09331727082369,0
resnet18,FP32,8,MAXN,21.098496,0.3884599846397824,0.3855217912020064,52.26048441729692,0
resnet18,FP32,8,MAXN,21.098496,0.3883111461535741,0.3109021690357543,52.37106247822347,0
resnet18,FP32,8,MAXN,20.3952,1.425073519270145,0.0725701668145545,14.161120730512264,0
resnet18,FP32,8,MAXN,20.467712,1.4377432258987215,0.0672579040677361,13.909728237664195,0
resnet18,FP32,8,MAXN,20.78368,1.4248150052702324,0.0388072765573744,14.236785946530134,0
resnet18,FP32,16,15W,14.962176,0.7563469151095812,0.0195898144455182,19.458708305355334,0
resnet18,FP32,16,15W,15.001344,0.7640742361843739,-0.0056743354862665,19.353234154259493,0
resnet18,FP32,16,15W,14.986624,0.7628641665301332,-0.0071565173253624,19.34232992258936,0
resnet18,FP32,16,15W,15.07968,2.564831751335787,-0.0128074048307419,5.794200576878317,0
resnet18,FP32,16,15W,15.025856,2.551555829269012,-0.0085595207224855,5.831777057953086,0
resnet18,FP32,16,15W,14.986624,2.5604630437812133,-0.0005402524035734,5.792932610042833,0
resnet18,FP32,16,25W,19.84512,0.7044630697860174,0.357838771872422,27.305475518893992,0
resnet18,FP32,16,25W,19.922944,0.7149722436246464,0.1777425154666826,27.278701129724368,0
resnet18,FP32,16,25W,19.922944,0.7161789882664177,0.1588024833369224,27.23898790836188,0
resnet18,FP32,16,25W,20.20096,2.418149889958686,0.0692061070934215,8.240927088114255,0
resnet18,FP32,16,25W,20.078592,2.4302385896529235,0.0454688627807715,8.179828467396021,0
resnet18,FP32,16,25W,20.117504,2.433907212024809,0.0371260238224793,8.176662914040886,0
resnet18,FP32,16,MAXN,21.408768,0.728679347145526,0.3580469943983513,28.43892633752566,0
resnet18,FP32,16,MAXN,21.486336,0.7361272589638637,0.1536595698255445,28.564304481546205,0
resnet18,FP32,16,MAXN,21.408768,0.7386286965810719,0.1464102317097174,28.43705215766159,0
resnet18,FP32,16,MAXN,21.52512,2.503797293905198,0.0505587564362765,8.523741064211578,0
resnet18,FP32,16,MAXN,21.602688,2.5047008540331013,0.0454117571020351,8.522795104491234,0
resnet18,FP32,16,MAXN,21.680256,2.5046594361845536,0.0310749235360096,8.555092711846005,0
