model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,repeat,final_loss
mobilenet_v3_large,FP16,1,15W,default,inference,128,64,8.09472,8.051123532467534,8.01536,8.09472,1.0054149544913398,3.2751158383634844,2.985619443096542,0.0,57.75,-0.08990524714379274,39.57283906925719,0.19786419534628596,4.915327970000362,200.0,torch-cuda-FP16,40.6462630967031,ina3221,1,
mobilenet_v3_large,FP16,1,15W,default,train,128,64,8.05504,7.5618074256410255,7.45984,7.65824,1.0652268097553625,4.68164628271609,3.2580589929553114,0.0,57.218,-0.08629115733448223,189.94761294488893,0.9497380647244447,25.118937904999257,200.0,torch-cuda-FP16-train,7.961887286652534,ina3221,0,0.0
mobilenet_v3_large,FP16,1,15W,default,train,128,64,7.9756800000000005,7.568933714891362,7.45984,7.65824,1.0537389149423244,5.269384325826776,3.265966212835239,0.0,55.031,-0.054749456798048615,184.40820788065162,0.9220410394032581,24.362638518001404,200.0,torch-cuda-FP16-train,8.208491988569378,ina3221,1,0.0
mobilenet_v3_large,FP16,1,25W,default,inference,128,64,7.81696,7.704773818181819,7.49952,7.777279999999999,1.0145606067699797,3.3799985516593605,3.266413047829692,0.0,53.593,-0.048399512173744434,42.26383070625346,0.2113191535312673,5.48729663999984,200.0,torch-cuda-FP16,36.42007344581846,ina3221,0,
mobilenet_v3_large,FP16,1,25W,default,inference,128,64,7.8566400000000005,7.726873110047846,7.69792,7.777279999999999,1.016794230745605,3.201283353217818,2.9890418513910797,0.0,53.375,-0.033017560359546054,42.84308260724379,0.21421541303621894,5.544529234000947,200.0,torch-cuda-FP16,35.98922395757008,ina3221,1,
mobilenet_v3_large,FP16,1,25W,default,train,128,64,7.8566400000000005,7.538478545454546,7.45984,7.61856,1.0422049956933679,5.56772481912675,3.2392404173298046,0.0,53.093,-0.030236491207688915,189.50204924171652,0.9475102462085826,25.136769163998906,200.0,torch-cuda-FP16-train,7.956140150865297,ina3221,0,0.0
mobilenet_v3_large,FP16,1,25W,default,train,128,64,8.596672,7.75385345117294,7.5392,8.253440000000001,1.108696734357233,6.296913433700704,3.2247229767874637,0.0,52.375,-0.018230497493574627,186.34953797480813,0.9317476898740407,24.032309611000528,200.0,torch-cuda-FP16-train,8.322629333770125,ina3221,1,0.0
mobilenet_v3_large,FP16,1,MAXN,default,inference,128,64,8.636288,8.427825542168675,7.936,8.596672,1.0247350229057641,6.505389939724072,3.0493235204749443,0.0,51.875,0.015133757911379022,36.46516142377566,0.1823258071188783,4.325764494000396,200.0,torch-cuda-FP16,46.12709875598416,ina3221,0,
mobilenet_v3_large,FP16,1,MAXN,default,inference,128,64,8.675904000000001,8.523201142857143,8.45184,8.596672,1.0179161390871116,4.064225973214501,3.0457796010487193,0.0,51.968,0.009303504205345047,36.944591651377294,0.18472295825688648,4.3344171670014475,200.0,torch-cuda-FP16,46.11646880907283,ina3221,1,
mobilenet_v3_large,FP16,1,MAXN,default,train,128,64,7.9756800000000005,7.669073138075314,7.57888,7.777279999999999,1.039979650266008,5.699867364435398,3.280716746056796,0.0,51.875,-0.016304150185230865,188.28494145860094,0.9414247072930046,24.550817491001,200.0,torch-cuda-FP16-train,8.144928809077882,ina3221,0,0.0
mobilenet_v3_large,FP16,1,MAXN,default,train,128,64,7.936,7.676665917926566,7.57888,7.81696,1.033782124277134,5.816400652449791,3.26508100692572,0.0,51.5,-0.011159824577765634,184.6584069942231,0.9232920349711154,24.052568612998584,200.0,torch-cuda-FP16-train,8.31315120381061,ina3221,1,0.0
mobilenet_v3_large,FP16,4,15W,default,inference,128,64,9.547456,9.366333,8.675904000000001,9.50784,1.0193376639502356,6.769137816514356,3.3966852403274643,0.0,51.531,0.09731920206627512,46.86863284703871,0.23434316423519355,4.99765330199989,200.0,torch-cuda-FP16,39.927632946055,ina3221,0,
mobilenet_v3_large,FP16,4,15W,default,inference,128,64,9.611136,9.49123087437186,9.270144,9.611136,1.0126332534963307,6.63250520143409,3.405900578490604,0.0,51.625,0.011650263793501566,46.89606566241218,0.2344803283120609,4.943064095999944,200.0,torch-cuda-FP16,40.375172669437006,ina3221,1,
mobilenet_v3_large,FP16,4,15W,default,train,128,64,9.151296,8.492393437288136,8.398592,8.675904000000001,1.0775873807045697,8.258745105606216,3.3225386532265495,0.0,51.437,-0.002303664464962343,225.85972922114658,1.1292986461057328,26.59245662399917,200.0,torch-cuda-FP16-train,7.521007166823879,ina3221,0,1.6361222151317634e-05
mobilenet_v3_large,FP16,4,15W,default,train,128,64,8.9136,8.51050484169125,8.37248,8.71552,1.0473644238276054,6.656328880418778,3.331869451310745,0.0,51.5,0.0009458367799344978,222.49485810276042,1.112474290513802,26.141106361999846,200.0,torch-cuda-FP16-train,7.650816427912728,ina3221,1,2.1159569314477267e-06
mobilenet_v3_large,FP16,4,25W,default,inference,128,64,9.270144,9.008682810810813,8.4837664,9.190912,1.0290232428735777,6.200874419760885,3.3516036872777444,0.0,51.531,0.035064079594455476,49.02026229151033,0.24510131145755165,5.445135900999958,200.0,torch-cuda-FP16,36.69376242514146,ina3221,0,
mobilenet_v3_large,FP16,4,25W,default,inference,128,64,9.230528,9.034800494061757,8.873984,9.151296,1.0216637330361513,3.393988367417912,3.066655049746713,0.0,51.656,0.018706510504907146,50.17970419654802,0.2508985209827401,5.5536354609994305,200.0,torch-cuda-FP16,36.00879450711042,ina3221,1,
mobilenet_v3_large,FP16,4,25W,default,train,128,64,8.873984,8.435013020211741,8.332799999999999,8.557056000000001,1.0520415296024332,6.754703076664836,3.2805739262741116,0.0,51.656,-0.003153109646711994,226.45420416877295,1.1322710208438647,26.843561304000104,200.0,torch-cuda-FP16-train,7.45224621186347,ina3221,0,2.297697210451588e-05
mobilenet_v3_large,FP16,4,25W,default,train,128,64,8.794752,8.457480649489547,8.332799999999999,8.636288,1.0398784655251692,8.66695155834926,3.2959283345224946,0.0,51.593,-0.0031946187685305736,224.94865993582005,1.1247432996791003,26.594571675001134,200.0,torch-cuda-FP16-train,7.520971176882885,ina3221,1,2.861008169929846e-06
mobilenet_v3_large,FP16,4,MAXN,default,inference,128,64,10.560384,10.274599089820358,9.2027968,10.520832,1.0278147018371537,6.227185541276602,3.1930250160440234,0.0,52.093,0.1271268017938441,44.79024708980803,0.22395123544904014,4.357947020000211,200.0,torch-cuda-FP16,45.88001957191385,ina3221,0,
mobilenet_v3_large,FP16,4,MAXN,default,inference,128,64,10.520832,10.38867621556886,10.111468799999999,10.48128,1.0127211380631043,3.4942485194616553,3.084612194652751,0.0,52.312,0.09219981294038455,45.27408412075378,0.22637042060376888,4.3578088490012306,200.0,torch-cuda-FP16,45.79800727705987,ina3221,1,
mobilenet_v3_large,FP16,4,MAXN,default,train,128,64,9.388992,8.602412166828323,8.477824,8.834368,1.0914371246014927,7.750875305785268,3.321228321531248,0.0,52.031,-0.002752270241396952,227.4288419142718,1.137144209571359,26.433370083999762,200.0,torch-cuda-FP16-train,7.567919791112928,ina3221,0,1.5199146901068161e-06
mobilenet_v3_large,FP16,4,MAXN,default,train,128,64,9.072064000000001,8.608596444013571,8.477824,8.834368,1.053837760777917,12.749805109969348,3.3323975695196393,0.0,51.968,-0.0020409679846482482,226.6121486624467,1.1330607433122335,26.322196918999907,200.0,torch-cuda-FP16-train,7.599302183696096,ina3221,1,4.88755949845654e-06
mobilenet_v3_large,FP16,8,15W,default,inference,128,64,11.906048,11.592467989501314,10.243968,11.866624,1.0270503236051787,9.494493779991378,5.993608342881976,0.0,52.781,0.22480129213942507,58.006754452225536,0.2900337722611277,5.001878686000055,200.0,torch-cuda-FP16,39.982404615346326,ina3221,0,
mobilenet_v3_large,FP16,8,15W,default,inference,128,64,11.906048,11.755373255936675,11.293567999999999,11.866624,1.0128175210418973,6.577320722873205,5.960356898274667,0.0,53.25,0.09952274693662148,58.66339691937871,0.29331698459689354,4.98975068999971,200.0,torch-cuda-FP16,40.05726284264617,ina3221,1,
