model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,repeat,final_loss
mobilenet_v3_large,FP16,4,MAXN,default,train,128,64,28.341376,27.210996826058636,26.774272000000003,27.873408000000005,1.0415412629374479,30.148936339728674,12.730547009575023,0.0,52.375,-0.0006457491122587684,713.5207306875252,3.567603653437626,26.2180064209997,200.0,torch-cuda-FP16-train,7.626222120421533,ina3221,1,0.00020596860849764198
mobilenet_v3_large,FP16,8,15W,default,inference,128,64,38.953088,37.677335311258275,32.9708192,38.834937599999996,1.0338599499726437,26.907331972813058,13.41084512801015,0.0,53.468,0.2184425235259058,187.6276731570291,0.9381383657851455,4.980089771000166,200.0,torch-cuda-FP16,40.133208580727455,ina3221,0,
mobilenet_v3_large,FP16,8,15W,default,inference,128,64,38.913664000000004,38.22932194594594,36.630320000000005,38.87424,1.0179009728454427,15.870316709152714,9.422957770284876,0.0,53.75,0.0756374090589187,189.5454179654945,0.9477270898274724,4.959843050000018,200.0,torch-cuda-FP16,40.28650391845712,ina3221,1,
mobilenet_v3_large,FP16,8,15W,default,train,128,64,34.63936,31.346207298685034,30.447232,32.680831999999995,1.1050574530416353,23.447157498024474,17.022644922350953,0.0,53.593,0.008491176113509436,864.6382754881853,4.323191377440926,27.576726082000278,200.0,torch-cuda-FP16-train,7.254099538841921,ina3221,0,0.0003172389115206897
mobilenet_v3_large,FP16,8,15W,default,train,128,64,33.194368000000004,31.612904767676767,30.684416000000002,32.799488,1.0500258753172291,25.002314920602082,17.16693651278052,0.0,53.937,0.007894749432373834,853.9575670010593,4.269787835005296,27.012870505999672,200.0,torch-cuda-FP16-train,7.403676657447117,ina3221,1,0.0012835836969316006
mobilenet_v3_large,FP16,8,25W,default,inference,128,64,35.901056,34.75063270886076,31.406944,35.585664,1.0331051034603436,24.625032669800266,13.419981234528963,0.0,54.093,0.1557085579654708,193.16093513270448,0.9658046756635223,5.556561387999864,200.0,torch-cuda-FP16,35.98394910113747,ina3221,0,
mobilenet_v3_large,FP16,8,25W,default,inference,128,64,35.861568,35.044717223974764,33.668352,35.672281600000005,1.0233088134455373,14.203184728319233,11.161006857417089,0.0,54.218,0.06569406195455309,194.97643305690787,0.9748821652845393,5.563239623999834,200.0,torch-cuda-FP16,35.8993580401902,ina3221,1,
mobilenet_v3_large,FP16,8,25W,default,train,128,64,35.15168,32.038128031027796,31.108928,33.3006336,1.0971827057422592,30.251985511647998,17.839903948117207,0.0,54.281,0.010659619556264668,854.0533535156062,4.270266767578031,26.653827429000557,200.0,torch-cuda-FP16-train,7.502941004972291,ina3221,0,0.0025903433561325073
mobilenet_v3_large,FP16,8,25W,default,train,128,64,34.147135999999996,31.998447883366467,30.75328,32.957184,1.0671497606529368,36.668528117548455,17.909758774390063,0.0,54.343,0.008586892213139722,844.5861353422324,4.222930676711162,26.3877629159997,200.0,torch-cuda-FP16-train,7.579778757203817,ina3221,1,0.00044091767631471157
mobilenet_v3_large,FP16,8,MAXN,default,inference,128,64,44.767424,42.90512660317461,35.0448288,44.688832000000005,1.0434050087778461,38.533606585503584,18.193570711431413,0.0,55.281,0.38317714564942457,187.3324144732485,0.9366620723662424,4.364351432000149,200.0,torch-cuda-FP16,45.67600436792093,ina3221,0,
