model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,qps,repeat
resnet50,INT4,1,MAXN,default,inference,128,64,19.494912,18.929475627056675,15.8082048,19.494912,1.0298706833767293,25.456625693336846,10.822146989408855,0.0,63.5,0.29386146678337094,124.42737629640192,0.04030689222429605,6.571645476999947,3087.0,trt-int4,469.0653371074167,ina3221,469.066,2
resnet50,INT4,2,15W,default,inference,128,64,15.065088,14.586171297491042,11.978982400000001,15.065088,1.0328336129297573,16.300502687015076,7.368878077378342,0.0,57.312,0.34829406138544383,96.24635613687941,0.07449408369727509,6.584068232999925,1292.0,trt-int4,196.04629497783634,ina3221,196.025,0
resnet50,INT4,2,15W,default,inference,128,64,15.10432,14.68039271312804,12.469248,15.065088,1.028877108068973,17.576969016799577,7.378096914041914,0.0,58.0,0.24829165421673804,96.93989921529496,0.07508900016676603,6.605065067000396,1291.0,trt-int4,195.347178888295,ina3221,195.318,1
resnet50,INT4,2,15W,default,inference,128,64,15.065088,14.662017959183677,12.530256,15.065088,1.02749076163584,19.388269889543785,7.357242871968627,0.0,58.562,0.23981916817955712,96.70418077325377,0.07479054970862627,6.590464365000116,1293.0,trt-int4,196.08293911246625,ina3221,196.031,2
resnet50,INT4,2,25W,default,inference,128,64,18.90336,18.264415594936708,14.4216832,18.864383999999998,1.0349830193986838,25.239956453686652,12.13765358423326,0.0,60.437,0.4702892183971434,120.65086018548968,0.06571397613588763,6.602243110000018,1836.0,trt-int4,277.96381272176166,ina3221,277.948,0
resnet50,INT4,2,25W,default,inference,128,64,18.90336,18.27000290391459,14.8708896,18.864383999999998,1.0346665022121975,25.55357418092538,10.840476223273257,0.0,61.375,0.3549498318340146,120.63120882136707,0.06584672970598639,6.601981304999754,1832.0,trt-int4,277.4272944608185,ina3221,277.427,1
resnet50,INT4,2,25W,default,inference,128,64,19.020288,18.381675294117645,14.8473504,19.020288,1.0347418119221548,25.844542847254314,11.083617325658066,0.0,62.0,0.34499344562204454,121.23344410599792,0.06574481784490126,6.594685832999858,1844.0,trt-int4,279.3893160934228,ina3221,279.39,2
resnet50,INT4,2,MAXN,default,inference,128,64,20.977919999999997,20.31918957303371,16.701318399999998,20.939072,1.0324191289519002,29.463146743631512,11.207923109689556,0.0,63.218,0.4423495542871397,133.3620305206347,0.06721876538338442,6.565344489999916,1984.0,trt-int4,301.90427418948343,ina3221,301.912,0
resnet50,INT4,2,MAXN,default,inference,128,64,21.094464,20.422372772881353,16.967225600000003,21.055616,1.0329095563279067,29.129743424740404,11.211481955995026,0.0,64.062,0.36807319944949835,134.0769945508565,0.06788708584853494,6.55727274200035,1975.0,trt-int4,301.00646116068043,ina3221,301.065,1
resnet50,INT4,2,MAXN,default,inference,128,64,21.055616,20.413278649541283,16.956736000000003,21.055616,1.0314666429379855,29.049483943660395,12.974556785916112,0.0,64.781,0.32161601760448827,133.91903083735235,0.06749951151076228,6.559893005000049,1984.0,trt-int4,302.19253091791353,ina3221,302.197,2
resnet50,INT4,4,15W,default,inference,128,64,16.176384,15.510025703971118,12.961248,16.137216,1.042963068453089,19.712098120377522,7.335031688858641,0.0,57.625,0.3632574606235196,102.41981164323491,0.13301274239381156,6.599422883999068,770.0,trt-int4,116.66913098387188,ina3221,116.61,0
resnet50,INT4,4,15W,default,inference,128,64,16.019712,15.489487856373426,13.199884800000001,15.980544,1.0342312249793593,21.072043054675145,7.3863599177034995,0.0,58.406,0.2861509504233625,102.2950138046654,0.13267835772330142,6.593050618999769,771.0,trt-int4,116.76552617415528,ina3221,116.735,1
resnet50,INT4,4,15W,default,inference,128,64,15.941376,15.539884220064724,13.3154496,15.941376,1.025836214366184,18.39334643953837,7.383115037662745,0.0,59.062,0.2616476866164558,102.75076980775103,0.1329246698677245,6.613124947998585,773.0,trt-int4,116.79379056833037,ina3221,116.727,2
resnet50,INT4,4,25W,default,inference,128,64,20.273152,19.605422315789472,16.047129599999998,20.234240000000003,1.034058418811655,28.576799187468744,10.8523687038001,0.0,61.281,0.47976392637344073,129.54438469937696,0.11734092816972551,6.608474812001077,1104.0,trt-int4,166.97393346528287,ina3221,166.998,0
resnet50,INT4,4,25W,default,inference,128,64,20.273152,19.628487906510852,16.1646336,20.273152,1.032843288620073,29.02295971585348,10.84887267300688,0.0,62.218,0.3711970786623172,129.73799936919576,0.11751630377644544,6.60830321299909,1104.0,trt-int4,166.99639840814825,ina3221,166.956,1
